-11,-56,-71,-39,-9,0,-14,-54,-38,-1,-4,0,-88,0,-8,-84,-6,-98,-29,-22
0,-99,-64,-72,-79,-31,-40,-5,-18,-4,-62,-3,-79,-11,-19,-84,-86,-14,-52,0
-1,-91,-72,-18,-24,-33,-2,-16,-17,-82,-12,-1,-87,-55,-85,-10,-12,-12,-8,-34
-9,-26,-78,-3,-29,-72,-10,-35,-15,-44,-22,-80,-40,-3,-43,-60,-12,-60,-82,-81
-19,-73,0,-54,-13,-15,-14,-58,-28,-9,-24,-24,-21,-6,-47,-5,-44,-4,-32,-87
-66,-5,-45,-79,0,-64,-9,-70,-25,-18,-6,-11,-58,-3,-50,0,-26,-19,0,-1
0,-75,-12,-4,-3,-4,-2,-79,-46,-73,-44,-55,-12,0,-16,-1,-2,-4,-7,-94
-44,-1,-19,-2,-52,-22,-33,-82,-6,-4,-16,-2,0,-33,-24,-21,-52,-12,-1,-52
-30,-86,0,-2,-12,-3,-21,0,-56,-56,-63,-97,-2,-54,-12,-80,-70,-23,-35,-7
-24,-1,-25,-35,-46,-37,-3,-31,0,0,-7,-51,-71,-5,-31,0,-5,-49,-3,-9
-1,-17,-5,0,-22,-69,-13,-38,0,-11,-28,-56,-85,-25,-13,-8,-7,-25,-49,-6
-53,-66,-51,-50,-55,-74,-2,-46,-27,-40,-3,-65,-8,-2,-91,-42,-11,-64,-14,-8
-88,-2,-74,-61,-25,-58,-59,-63,-12,-23,-46,-39,-5,-63,-18,-15,-22,-1,-2,-2
-28,-75,0,-25,-12,-68,-67,-70,-76,-10,-11,-85,-60,-4,-19,-73,-20,-15,-14,-22
-46,-77,-48,-14,-93,-99,0,-10,-92,-4,-5,-95,-93,-99,-8,-23,-4,-4,0,-68
-4,-61,0,-71,-7,-40,-69,-54,-81,-70,-26,-32,-12,-70,-34,-23,-3,-9,-60,-6
-63,-11,-7,-98,-73,-16,-31,0,-7,-4,-16,-30,-13,-73,-11,-96,-59,-63,-77,-9
-3,-37,0,-19,-67,-3,-26,-81,-58,-12,0,-40,-12,-94,-12,-39,-19,-5,0,-91
-94,-72,-3,-2,-56,-43,-4,-60,-69,0,0,-6,-53,-7,0,-1,-14,-38,-94,-80
-3,-8,-19,0,-42,-22,-27,-97,-21,-43,-30,-93,-53,-81,0,-12,-4,-37,0,-26
